job_title,company_name,job_location,salary_range,job_posted,description,Ratings
"Associate Digital Product Management, Consumer Banking",Amex,"New York, NY","$60,000 - $110,000 ","
 30+ days ago","Experience effectively managing a backlog using Jira or any other development management software.
Experience in new product development, product management, or…",4.1
"Associate Director, Diversity, Equity & Inclusion (Open to Remote)",Penguin Random House LLC,"Remote in New York, NY 10019","$90,000 - $100,000 ","
 30+ days ago","Collaborate on, support and help drive DEI initiatives that relate to the PRH DEI Strategic Plan and DEI Pillars (Leadership Investment, Diversity +…",3.9
"Product Management Associate, Polo Women's Wovens",Ralph Lauren,"New York, NY","From $105,472 ","
 16 days ago","Sourcing role for factory direct managed programs; allocation and capacity planning, order management, solicitation of all production approvals and proactive…",3.8
"Senior Associate, Evidence and Discovery Management",KPMG,"New York, NY","$58,500 - $79,300 ","
 30+ days ago","KPMG does not currently require partners or employees to be fully vaccinated or test negative for COVID-19 in order to go to KPMG offices, client sites or KPMG…",3.9
Assistant/Associate Transit Management Analyst Series,Metropolitan Transportation Authority,"New York, NY 10004 
(Financial District area)","$74,000 - $100,000 ","
 4 days ago","Experience in financial analysis, budget and project management.
A master's degree from an accredited college in business administration, public administration,…",4.0
Associate Product Services & Management Analyst,Northwell Health,"Lake Success, NY 11020","$58,500 - $85,720 ","
 30+ days ago","Assists in the analysis, verification, tracking and development of implementation plans for system development and implementation of project access.",3.9
Associate Technical Product Manager,Sirius XM,"Remote in New York, NY 10019","$185,000 - $250,000 ","
 30+ days ago",This role will assist in the management of a variety of projects related to our automotive entertainment platforms.,3.6
Product Management Associate,Northwell Health,"New York, NY","$120,000 - $180,060 ","
 16 days ago",Experience with or a willingness to learn product management skills including Agile development and software architectural concepts.,3.9
Associate Category Management Analyst,Lazard Ltd.,"Lake Success, NY 11020","$120,000 - $135,000 ","
 10 days ago","Assists in analyzing, processing, and reporting on related category management opportunities.
Assists in analyzing, tracking, and reporting on category…",3.9
Associate – Private Capital Advisory (Transaction Management),Mount Sinai,"New York, NY","From $105,472 ","
 20 days ago",This person will play an important role as a Transaction Management team member alongside senior bankers supporting deal management activities primarily for…,3.7
QA Associate Director – Technology Specialist II – REMOTE - Digital and Technology Partners,Crédit Agricole CIB,"Remote in New York, NY","$75,000 - $90,000 ","
 2 days ago",Provides comprehensive consultation to business unit and IT management and staff at the highest technical level on all phases of the project development cycle.,3.8
Enterprise Wide Risk Management - Risk Aggregation (Analyst / Associate),Metropolitan Transportation Authority,"New York, NY",0,"
 30+ days ago","Experience in a risk management function.
Participate in the oversight of the effectiveness of risk management within Credit Agricole US business lines, across…",4.0
Assistant Transit Management Analyst I-II/ Associate Transit Management Analyst,S&P Global,"Brooklyn, NY 11201",0,"
 5 days ago",The selected candidate will assist Infrastructure management with the production of reports and organization of responses from the subdivisions.,3.9
Client Management Associate,Moët Hennessy USA,"New York, NY 10041 
(Financial District area)",0,"
 6 days ago","Set proper client expectations for project management of additional products and services.
The role is an individual contributor who will manage clients…",4.2
"Associate Brand Manager, Tequila",0,"New York, NY 10011 
(Chelsea area)",0,"
 30+ days ago","Partner with brand leadership on the management of programming KPIs.
Support the management of the brand’s A&P deployment strategy, ensure that the A&P budget…",0
"Director, Product Management",Visa,"Hybrid remote in New York, NY",0,"
 10 days ago",This role of Product Manager will be a key member of the B2B Acceptance Products & Solutions team and will manage day-to-day activities product management…,3.9
"Senior Director, Visa Data Access & Streaming Services",Visa,"Hybrid remote in New York, NY",0,"
 30+ days ago","As the Senior Director, Visa Data Access and Streaming Services, you will manage Visa’s Data Access and Streaming services to enable clients and third parties…",3.9
Engineering Manager - Open Banking,Visa,"New York, NY",0,"
 17 days ago","Visa will not sponsor applicants for work visas in connection with this position.
Collaborate with other internal engineering and platform teams to ensure we…",3.9
"Senior Product Manager, Payment Journeys",Visa,"Hybrid remote in New York, NY",0,"
 3 days ago","As a Senior Product Manager in the Customer Experience organization, you will be responsible for setting the direction and lead the work on how US consumers use…",3.9
Sr. Director - Global Corporate Strategy,Visa,"Hybrid remote in New York, NY",0,"
 12 days ago","Lead projects related to Visa Inc.’s corporate strategy, business development, or corporate initiatives.
Manage the day-to-day project and team activities to…",3.9
Senior Business Development Manager,Visa,"Hybrid remote in New York, NY",0,"
 6 days ago",You will work closely with both existing accounts together with those account teams to introduce new and innovative solutions and identify new potential…,3.9
Head of Account to Account Payments Products,Visa,"Hybrid remote in New York, NY",0,"
 6 days ago",Building upon our open banking offering you will have the ability to create a market leading A2A payments product to offer to a wide range of customers and use…,3.9
Client Consulting Director,Visa,"New York, NY",0,"
 29 days ago","Visa Consulting and Analytics (VCA) drives tangible, impactful and financial results for Visa’s network clients, including both financial services and merchants…",3.9
Bilingual Sr. Treasury Settlement Analyst - Client Onboarding,Visa,"Hybrid remote in New York, NY",0,"
 23 days ago","The Treasury Settlement department is also responsible for the management of corporate cash and investment portfolios, foreign exchange exposure and rate…",3.9
"Director, Sales Executive, North America",Visa,"Hybrid remote in New York, NY",0,"
 5 days ago","The Visa Direct Bank Sales Executive reports to the VP, GM Head of Bank & Cross Border Specialized Sales, N. America, Visa Direct, with a dotted line…",3.9
"Senior Director, Talent Partner",Visa,"New York, NY",0,"
 5 days ago","Talent Partners work closely with business stakeholders and leadership within the Talent Centers of Excellence, to ensure that solutions are developed and…",3.9
"Global Sales Lead, Treasury & Trade Services",Visa,"Hybrid remote in Staten Island, NY",0,"
 3 days ago",This individual would work closely with regional sales leads to bring forward a cohesive narrative on individual deals as well as emerging opportunities.,3.9
"Global Sales Lead, Treasury & Trade Services",Visa,"Hybrid remote in New York, NY",0,"
 3 days ago",This individual would work closely with regional sales leads to bring forward a cohesive narrative on individual deals as well as emerging opportunities.,3.9
Project Management Analyst,Mastercard,"New York, NY 10011 
(Flatiron area)","$77,000 - $119,000 ","
 13 days ago",Uses analytical problem solving and project management tools to advise senior team members of progress and accomplishments of projects.,4.0
Clinical Informatics Analyst,Fidelis Care,"Hybrid remote in New York, NY","$79,300 - $142,800 ","
 26 days ago","Education/Experience: Bachelor’s degree in Science, Business Management, Accounting, Statistics, Healthcare related field or equivalent 3+ years of related…",3.2
Citadel Associate Program,Mastercard,"New York, NY","$2,800 - $3,000 a week","
 18 days ago","Experience best-in-class research technology and quantitative risk systems.
Successful summer internship participants will receive an offer for full time…",4.0
Manager - Network Strategy and Product,Louis Vuitton,"New York, NY 10011 
(Flatiron area)","$142,000 - $220,000 ","
 16 days ago","Maintain an independent mindset and view of the facts, develop a strong view of the best available approaches, make a compelling case and push hard for the…",3.7
CLIENT DATA ANALYST,Federal Bureau of Investigation,"Hybrid remote in New York, NY","$95,000 - $105,000 ","
 30+ days ago","As an expert in your field, you will.
Louis Vuitton Americas is seeking a Client Data Analyst based in our New York office that will support our Client…",4.3
DAR New York 2023 Talent Network,The Metropolitan Museum of Art,"New York, NY","$110,000 - $130,000 ","
 12 days ago","Travel to attend the DAR session is at your own expense.
Complete your applicant profile if establishing your account for the first time.",3.8
Technical Support Manager,Louis Vuitton,"New York, NY","$80,000 - $90,000 ","
 9 days ago","Manage the technical support operations team to provide inquiry research/response, problem analysis, and troubleshooting.",3.7
LOGISTICS SPECIALIST,BlackRock,"Hybrid remote in New York, NY",$33.65 - $52.88 an hour,"
 17 days ago","Coordinate team members, third party contractors and consultants including our retail community and relevant corporate teams.",3.8
Administrative Assistant,Amex,"Hybrid remote in New York, NY","$60,000 - $110,000 ","
 18 days ago","Drive key team activities and events (such as team meetings, strategy sessions, conferences, ordering supplies and social events).",4.1
"Associate Digital Product Management, Consumer Banking",Trader Joe's,"New York, NY","$90,000 - $100,000 ","
 30+ days ago","Partner with engineering, design, and user research to define user stories, user experience, and conduct user testing.",4.0
Crew,Penguin Random House LLC,"Brooklyn, NY 11201","$110,000 - $125,000 ","
Just posted","Operating the cash register in a fun and efficient manner.
Our Crew Members create a warm and friendly shopping experience in our stores.",3.9
"Associate Director, Diversity, Equity & Inclusion (Open to Remote)",Louis Vuitton,"Remote in New York, NY 10019","$85,000 - $167,300 ","
 30+ days ago","Partner with EVP to develop a formal DEI metrics, analytics and insights strategy; work in collaboration with other colleagues including the HR, L+D and…",3.7
ACCOUNTS PAYABLE MANAGER,UnitedHealth Group,"Hybrid remote in New York, NY",0,"
 30+ days ago","As an expert in your field, the Accounts Payable Manager will support the month and year-end closing procedures and assist with the reconciliations of intern…",3.6
"Manager, Technical Product Management - Remote",Mastercard,"Remote in New York, NY 10002",0,"
 13 days ago","4+ years of professional experience in technical (software or hardware) product management managing successful product definition, market analysis, prototyping,…",4.0
Customer Success Manager,0,"New York, NY 10011 
(Flatiron area)",0,"
 30+ days ago","All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected…",0
"Director, Network Strategy and Product",Mastercard,"New York, NY 10011 
(Flatiron area)","$174,000 - $269,000 ","
 30+ days ago","Drive new offerings through the Studio product management process.
Strong project management skills – strong organization and task management is expected.",4.0
"Head of Product, Experience & Technology (PXT) Business Management - Executive Director","JPMorgan Chase Bank, N.A.","New York, NY","$154,900 - $250,000 ","
 2 days ago","Experience in effectively messaging priorities, initiatives and updates to senior management.
Proven track record of delivering projects, complex product and/or…",3.8
Technical Product Management Director- REMOTE,Siemens,"Remote in New York, NY","$159,900 - $287,800 ","
 30+ days ago","5+ years in a leading portfolio or product management role.
Directs managers who are responsible for managing the definition and direction of a product or…",4.0
Product Management Director,Meta,"New York, NY","$244,000 - $317,000 ","
 30+ days ago","Define and analyze metrics that inform the success of products.
Attract, build, manage, and develop a talented, diverse, equitable and inclusive team of product…",4.1
Sr. Director Product Management,Warner Bros. Discovery,"New York, NY 10010 
(Flatiron area)","$197,050 - $365,950 ","
 2 days ago","12+ years of product management experience.
Collaborates with partner product teams, marketing, analytics and CS teams to source feedback and opportunities for…",4.0
Product Manager,Amex,"New York, NY","$110,000 - $190,000 ","
 30+ days ago",Driving ongoing engagement with product teams to ensure UX focus and colleague centric approach early in the product lifecycle.,4.1
"Director, Product Management, Private Markets - Strategic Initiatives",S&P Global,"New York, NY 10004 
(Financial District area)","$180,000 - $200,000 ","
 13 days ago",8-12 years of total experience; at least 4 years of experience specifically in product ownership or technical product management roles working alongside…,3.9
Product Solution Delivery Transformation Director - Capital Management,Citi,"Queens, NY","$170,000 - $300,000 ","
 10 days ago","Strong analytical, problem solving, project management and people management skills.
They will have been active in other project-to-product transformations.",3.9
"Wealth Management, Head of US Discretionary and Advisory Investment Product Development (Managing Director)","JPMorgan Chase Bank, N.A.","New York, NY","$300,000 - $500,000 ","
 19 days ago","Lead product simplification initiatives focused on the harmonizing and simplifying the product offering.
Influence decision-making across Investment Solutions,…",3.8
Product Management Director,DTCC,"Hybrid remote in Jersey City, NJ 07310","$152,000 - $350,000 ","
 30+ days ago","The Product Management, Director is product champion and subject matter expert that is responsible for representing the 'voice' of the industry and clients to…",3.7
Head of Transactional Data Management Product - Executive Director,"JPMorgan Chase Bank, N.A.","New York, NY","$180,000 - $220,000 ","
 9 days ago","Global lead for Data Management team with focus on global people management, strategic roadmap development, product development, client implementations and end…",3.8
"Director of Product Management, Microtransit",Via,"New York, NY","$122,862 - $172,007 ","
 30+ days ago","Execute on existing partner commitments while converging those with delivery of products that are built for durability, scale and in line with Via’s product and…",3.3
"Director, Portfolio and Program Management",Metropolitan Transportation Authority,"New York, NY 10004 
(Financial District area)","$150,000 - $250,000 ","
 5 days ago","Financial/budgeting planning and management experience a plus.
Proven knowledge of IT project management processes and methodologies.",4.0
"Director, Product Management - RealVitalize - Remote","JPMorgan Chase Bank, N.A.","Remote in Madison, NJ","$175,750 - $275,000 ","
 30+ days ago","10+ years of experience in product management, go-to-market, and product strategy.
Scale the existing RealVitalize product across all of Anywhere’s brokerage…",3.8
"Technology Product Management, Executive Director",0,"Jersey City, NJ",0,"
 10 days ago","10+ years of experience in technical program management, product management, consulting, analytics, or a related field.",0
"Group Product Manager, Patient Experience",Ro,"Remote in New York, NY","$186,600 - $222,500 ","
 30+ days ago","You are also a passionate executor who will lead a cross-functional team in day-to-day building, experimenting and optimizing.
401(k) with company match.",3.6
"Senior Product Manager, Platform",Ro,"Remote in New York, NY","$177,000 - $212,000 ","
 30+ days ago","As the Senior Product Manager leading our Care Delivery Platform team, you’ll work side-by-side with our engineering, data, and clinical teams to deliver the…",3.6
Senior Data Analyst,Ro,"Remote in New York, NY","$116,450 - $152,500 ","
 30+ days ago","We are looking for a Senior Data Analyst to embed in one of our “single-threaded” teams, working cross-functionally with product, engineering, design, category…",3.6
Regulatory Specialist (IVD/CLIA),Ro,"Remote in New York, NY","$92,000 - $124,500 ","
 30+ days ago","We’re looking for a FDA regulatory specialist to join the growing legal team.
In this role, you will be the primary point of contact for in vitro diagnostic …",3.6
Senior Motion Designer,Ro,"Remote in New York, NY","$94,400 - $121,000 ","
 30+ days ago","This role will collaborate across the organization with Product, Growth, and Communications to concept and develop video that demonstrates how Ro helps people…",3.6
Senior Security Analyst,Ro,"Remote in New York, NY","$127,500 - $155,500 ","
 30+ days ago",We are seeking a Senior Security Analyst (Tier 2) with seasoned expertise in technical cyber investigations and navigation of ambiguous scenarios.,3.6
Senior Data Scientist,Ro,"Remote in New York, NY","$154,700 - $185,000 ","
 30+ days ago",Ro is looking for a versatile Senior Data Scientist with a strong machine learning background to take on a central and multi-faceted role in our Data…,3.6
Senior Privacy Engineer,Ro,"Remote in New York, NY","$142,000 - $175,000 ","
 30+ days ago","The Governance Risk and Compliance Sr. Privacy Engineer role will be a core member of Ro’s GRC team.
This role will be a key player in executing Ro’s Risk…",3.6
Full-Time Physician (Temp),Ro,"Remote in New York, NY","$245,000 - $260,000 ","
 30+ days ago","Ro is currently seeking full-time, temporary Telemedicine Physicians to join our remote team for 3-6 month assignments to start.
6 month assignment to start.",3.6
"Pharmacist-in-Charge, New York",Ro,"New York, NY","$123,000 - $139,000 ","
 8 days ago","As a Pharmacist-in-Charge you will be responsible for leading, directing, and managing the pharmacy team in New York.
Valid New York Pharmacist License.",3.6
Project Management Analyst,Mastercard,"New York, NY 10011 
(Flatiron area)","$77,000 - $119,000 ","
 13 days ago",Uses analytical problem solving and project management tools to advise senior team members of progress and accomplishments of projects.,4.0
Manager - Network Strategy and Product,Mastercard,"New York, NY 10011 
(Flatiron area)","$142,000 - $220,000 ","
 16 days ago","Maintain an independent mindset and view of the facts, develop a strong view of the best available approaches, make a compelling case and push hard for the…",4.0
Citadel Associate Program,Fidelis Care,"New York, NY","$2,800 - $3,000 a week","
 18 days ago","Experience best-in-class research technology and quantitative risk systems.
Successful summer internship participants will receive an offer for full time…",3.2
Clinical Informatics Analyst,Ro,"Hybrid remote in New York, NY","$79,300 - $142,800 ","
 26 days ago","Education/Experience: Bachelor’s degree in Science, Business Management, Accounting, Statistics, Healthcare related field or equivalent 3+ years of related…",3.6
"Group Product Manager, Patient Experience",Amex,"Remote in New York, NY","$186,600 - $222,500 ","
 30+ days ago","Lead a cross-functional team across Product Design, Engineering, and Data in setting product vision and strategy and driving execution.",4.1
"Associate Digital Product Management, Consumer Banking",The Metropolitan Museum of Art,"New York, NY","$60,000 - $110,000 ","
 30+ days ago","Partner with engineering, design, and user research to define user stories, user experience, and conduct user testing.",3.8
Technical Support Manager,Trader Joe's,"New York, NY","$110,000 - $130,000 ","
 9 days ago","Manage the technical support operations team to provide inquiry research/response, problem analysis, and troubleshooting.",4.0
Crew,Federal Bureau of Investigation,"Brooklyn, NY 11201","$95,000 - $105,000 ","
Just posted","Operating the cash register in a fun and efficient manner.
Our Crew Members create a warm and friendly shopping experience in our stores.",4.3
DAR New York 2023 Talent Network,Louis Vuitton,"New York, NY","$90,000 - $100,000 ","
 12 days ago","Travel to attend the DAR session is at your own expense.
Complete your applicant profile if establishing your account for the first time.",3.7
CLIENT DATA ANALYST,Penguin Random House LLC,"Hybrid remote in New York, NY","$145,000 - $230,000 ","
 30+ days ago","As an expert in your field, you will.
Louis Vuitton Americas is seeking a Client Data Analyst based in our New York office that will support our Client…",3.9
"Associate Director, Diversity, Equity & Inclusion (Open to Remote)",Amex,"Remote in New York, NY 10019",$33.65 - $52.88 an hour,"
 30+ days ago","Partner with EVP to develop a formal DEI metrics, analytics and insights strategy; work in collaboration with other colleagues including the HR, L+D and…",4.1
Director Program Management- Strategy Delivery Office,BlackRock,"New York, NY","$80,000 - $90,000 ","
 6 days ago","Intellectually Curious and Data-driven – High intellectual curiosity, creativity, complex problem solving and strategic and innovative thought leadership;…",3.8
Administrative Assistant,Louis Vuitton,"Hybrid remote in New York, NY","$85,000 - $167,300 ","
 18 days ago","Drive key team activities and events (such as team meetings, strategy sessions, conferences, ordering supplies and social events).",3.7
LOGISTICS SPECIALIST,UnitedHealth Group,"Hybrid remote in New York, NY",0,"
 17 days ago","Coordinate team members, third party contractors and consultants including our retail community and relevant corporate teams.",3.6
"Manager, Technical Product Management - Remote",0,"Remote in New York, NY 10002",0,"
 13 days ago","4+ years of professional experience in technical (software or hardware) product management managing successful product definition, market analysis, prototyping,…",0
"Group Product Manager, Patient Experience",Ro,"Remote in New York, NY","$186,600 - $222,500 ","
 30+ days ago","Partner closely with leaders on Clinical, Marketing & Growth, and Operations to deliver the best patient experience possible in service of patient goals and…",3.6
Digital Experience Manager,"imre, LLC.","Remote in New York, NY 10004","$100,000 - $120,000 ","
 12 days ago","A compelling background with 3-5 years of social marketing and digital marketing experience, healthcare industry preferred.
Reduced Friday Hours Year-Round.",3.9
Sterile Manager- Mount Sinai Hospital- Full-time- 7:00AM-3:00PM,Mount Sinai,"New York, NY","$66,000 - $125,000 ","
 3 days ago","The Manager is responsible for overseeing staff, operations and resources within a department or division to ensure optimal result and high employee engagement.",3.7
"Manager, Patient Experience",Hackensack Meridian Health,"Perth Amboy, NJ 08861","$58,661 - $146,000 ","
 23 days ago","Oversee core patient advocacy functions such as advance directives, bioethics and patient's rights.
Manages the experience advisors, experience ambassadors,…",3.8
Administrative Manager-Pediatrics,Mount Sinai,"New York, NY","$233,600 - $350,400 ","
 30+ days ago","7+ years experience in an administrative or management capacity.
The Administrative Manager plans, directs and oversees all administrative operations, human…",3.7
"ED, Creative Strategy",Novartis,"Remote in East Hanover, NJ 07936","$58,661 - $146,000 ","
 5 days ago","The CE&E IMI team aims to design and deliver intentional, impactful customer experiences for HCPs and patients through integrated engagements and solutions.",4.1
Administrative Manager reporting to EVP CIO - Digital and Technology Partners - Hybrid,Mount Sinai,"New York, NY","$59,895 - $120,000 ","
 11 days ago","Bachelor’s degree or equivalent combination of experience and education.
5 years related administrative or business experience (10 years preferred).",3.7
Education Program Manager- Medical Education,Mount Sinai,"New York, NY","$80,000 - $110,000 ","
 11 days ago","Bachelor’s Degree or equivalent education and work experience.
3 years of related experience, preferably in an academic setting.",3.7
Department & Practice Relationship Manager,Columbia University,"New York, NY","$112,900 - $153,000 ","
 10 days ago","Prior experience in practice management is preferred.
Bachelor's Degree or combination of education and experience.",4.1
Academic and Faculty Affairs Manager,Weill Cornell Medicine,"New York, NY 10065 
(Upper East Side area)","$115,494 - $173,241 ","
 30+ days ago","Approximately 4 years of related experience.
Responsible for all facets of academic and faculty affairs within the department.",3.3
Clinical Program Manager-OB/GYN Reproduction,Mount Sinai,"New York, NY","$100,000 - $120,000 ","
 30+ days ago","5 years directly related experience (some supervisory preferred).
Progressive managerial and clinical job related experience specific to area of responsibility.",3.7
Research Program Manager,Columbia University,"Hybrid remote in New York, NY","$71,500 - $107,569 ","
 30+ days ago","Bachelor’s degree or equivalent in education and experience required; plus four years of related experience.
The Department of Pediatrics is seeking a Research…",4.1
Practice Manager,Mount Sinai,"New York, NY","$100,000 - $160,000 ","
 3 days ago","Facilitates implementation and monitors functionality of the Department’s Digital Access initiatives to improve patient access, patient satisfaction and…",3.7
"Manager, Patient Care",Northwell Health,"Manhasset, NY 11030","$174,400 - $261,600 ","
 3 days ago","Utilizing the nursing process, the manager is responsible for creating a safe, healthy work environment that supports delivery of high-quality patient and…",3.9
"Director, ERC Customer Engagement Advisor (Remote)",Novartis,"Remote in East Hanover, NJ 07936",0,"
 10 days ago",Engage with CF leaders and associates to understand unique challenges of CF roles (which are typically field based) and collaborate with CF teams to strengthen…,4.1
Cash&Trade Proc IntAssocAnlst,Citi,"Jersey City, NJ 07310 
(The Waterfront area)","$67,690 - $94,440 ","
 12 days ago",The Cash & Trade Proc Int Assoc Analyst is an entry level role responsible for assisting on any projects and initiatives related to cash management in…,3.9
"Asset Servicing Client Service Lead, AVP",Citi,"Jersey City, NJ 07310 
(The Waterfront area)","$91,960 - $137,940 ","
 8 days ago","In addition to escalations from OCRM clients and providing overall relationship management for certain clients.
Be a point of escalation for OCRM clients.",3.9
Product Management Lead,Citi,"Jersey City, NJ 07310 
(The Waterfront area)","$170,880 - $256,320 ","
 3 days ago",The leader will report to the head of Markets Operations Technology and will own the strategic roadmap of our key technology products to maintain the product…,3.9
Head of Information Services Group R&C Operations,Citi,"Jersey City, NJ 07310 
(The Waterfront area)","$225,000 - $300,000 ","
 30+ days ago",The Information Services Group (ISG) is responsible for providing authoritative sources of reference data to our clients across the Institutional Client…,3.9
Investment Banking Analyst,Citi,"New York, NY","$110,000 - $135,000 ","
 23 days ago","The Investment Banking Analyst is an intermediate level position responsible for assisting clients in raising funds in the capital markets, as well as in…",3.9
Supply chain analyst,Citi,"Rutherford, NJ 07070","$105,510 - $158,270 ","
 30+ days ago",Requires a detailed understanding of citi systems and technology to properly assess where we should optimally spend limited capital dollars.,3.9
Talent Engagement & Communication -Hybrid,Citi,"Jersey City, NJ 07310 
(The Waterfront area)","$137,610 - $206,420 ","
 30+ days ago","The Business Associate is a senior level position responsible for the overall administrative activities of a business.
May manage ad hoc projects as requested.",3.9
Mid-Corporate Services Relationship Associate,Citi,"New York, NY","$112,960 - $169,440 ","
 17 days ago",The Relationship Associate is a strategic professional who stays abreast of developments within own field and contributes to directional strategy by considering…,3.9
Lead QA Analyst C-12 Tampa (Hybrid),Citi,"Jersey City, NJ 07310 
(The Waterfront area)","$105,510 - $158,270 ","
 5 days ago","The IT Quality Sr Analyst is a seasoned professional role.
Applies in-depth disciplinary knowledge, contributing to the development of new techniques and the…",3.9
"Office Manager, Vice President, BCMA (Resident)",Citi,"New York, NY","$137,610 - $206,420 ","
 28 days ago","The Office Manager for the Banking, Capital Markets & Advisory (BCMA) New York office is a position that will be responsible for coordinating and overseeing the…",3.9
Head of Citi Global Wealth Global Client Reporting - C15,Citi,"Jersey City, NJ 07310 
(The Waterfront area)","$170,000 - $300,000 ","
 23 days ago","It delivers the full range of wealth products across investments, banking, lending, insurance, trust services and financial planning & advice across the wealth…",3.9
Software Engineer – VP – NY/NJ – Hybrid (HM),Citi,"Rutherford, NJ 07070","$137,610 - $206,420 ","
 29 days ago","We design our digital architecture and ensure our platforms provide a first-class customer experience.
Our operations teams manage risk, resources, and program…",3.9
Citi Wealth at Work - Relationship Officer,Citi,"New York, NY","$51,420 - $175,000 ","
 30+ days ago","Applies in-depth disciplinary knowledge, contributing to the development of new techniques and the improvement of processes and work-flow for the area or…",3.9
Citi Global Wealth / Wealth at Work - Finance Officer,Citi,"New York, NY","$170,000 - $300,000 ","
 29 days ago","By producing industry leading analyses for law firms around the world, our LFG Advisory Services platform also provides our clients with the resources and…",3.9
Citi Global Wealth Management - Collections Manager,Citi,"New York, NY","$175,000 - $250,000 ","
 30+ days ago","The Law Firm Group, with over 50 years of experience serving professionals, provides the full breadth of Citi’s offerings in one comprehensive service.",3.9
Administrative Assistant III,Horizon Blue Cross Blue Shield of New Jersey,"Hybrid remote in Newark, NJ 07105","$53,500 - $71,610 ","
 8 days ago","Provide the officer with complete and timely background information on all telephone calls and correspondence.
MS office tools and Outlook.",3.8
Quality Management Specialist - SAS Experience,Horizon Blue Cross Blue Shield of New Jersey,"Newark, NJ 07105 
(Ironbound area)","$93,000 - $127,050 ","
 20 days ago","Prefers a Bachelors Degree in Health Management or related field or Masters degree in business, nursing, public health, health science, health economics, data…",3.8
Clinical Informatics Analyst,Fidelis Care,"Hybrid remote in New York, NY","$79,300 - $142,800 ","
 26 days ago","Education/Experience: Bachelor’s degree in Science, Business Management, Accounting, Statistics, Healthcare related field or equivalent 3+ years of related…",3.2
Project Management Analyst,Mastercard,"New York, NY 10011 
(Flatiron area)","$77,000 - $119,000 ","
 13 days ago",Uses analytical problem solving and project management tools to advise senior team members of progress and accomplishments of projects.,4.0
LOGISTICS SPECIALIST,Louis Vuitton,"Hybrid remote in New York, NY","$80,000 - $90,000 ","
 17 days ago","Coordinate team members, third party contractors and consultants including our retail community and relevant corporate teams.",3.7
Citadel Associate Program,Mastercard,"New York, NY","$2,800 - $3,000 a week","
 18 days ago","Experience best-in-class research technology and quantitative risk systems.
Successful summer internship participants will receive an offer for full time…",4.0
Manager - Network Strategy and Product,Horizon Blue Cross Blue Shield of New Jersey,"New York, NY 10011 
(Flatiron area)","$142,000 - $220,000 ","
 16 days ago","Maintain an independent mindset and view of the facts, develop a strong view of the best available approaches, make a compelling case and push hard for the…",3.8
Billing & Enrollment Analyst,Federal Bureau of Investigation,"Newark, NJ 07105 
(Ironbound area)","$75,300 - $100,800 ","
 25 days ago",Partner with internal Billing & Enrollment teams to perform complex research and analysis on billing escalations to identify root cause and provide resolution.,4.3
DAR New York 2023 Talent Network,Amex,"New York, NY","$60,000 - $110,000 ","
 12 days ago","Travel to attend the DAR session is at your own expense.
Complete your applicant profile if establishing your account for the first time.",4.1
"Associate Digital Product Management, Consumer Banking",Horizon Blue Cross Blue Shield of New Jersey,"New York, NY","$131,300 - $179,235 ","
 30+ days ago","Partner with engineering, design, and user research to define user stories, user experience, and conduct user testing.",3.8
Manager Learning and Development,Ro,"Newark, NJ 07105 
(Ironbound area)","$186,600 - $222,500 ","
 30+ days ago","This position will assess developmental needs across Horizon, recommend specific learning initiatives and implement best-practice solutions to educate Horizon…",3.6
"Group Product Manager, Patient Experience",RWJBarnabas Health,"Remote in New York, NY","$110,000 - $130,000 ","
 30+ days ago","Lead a cross-functional team across Product Design, Engineering, and Data in setting product vision and strategy and driving execution.",3.9
Lab Assistant,The Metropolitan Museum of Art,"Jersey City, NJ 07302 
(Downtown area)","$100,000 - $250,000 ","
 9 days ago","Answers all phone calls observing proper telephone manners.
Refers phone calls to the appropriate section if the further assistance is needed.",3.8
Technical Support Manager,Tradeweb Markets LLC,"New York, NY",0,"
 9 days ago","Manage the technical support operations team to provide inquiry research/response, problem analysis, and troubleshooting.",3.6
Quality Assurance Analyst,0,"Remote in Jersey City, NJ 07097",0,"
 13 days ago","Analyze internal log files for detailed troubleshooting and root cause analysis.
Execute and document functional, regression, integration, and performance test…",0
Manager - Network Strategy and Product,Mastercard,"New York, NY 10011 
(Flatiron area)","$142,000 - $220,000 ","
 16 days ago","Develop partnership within the industry, as well as relationship, and program management related to existing and prospective Strategic Alliance partners across…",4.0
"Sr. Manager, Product Management",Fidelity Investments,"Jersey City, NJ 07311 
(Downtown area)","$103,000 - $137,000 ","
 30+ days ago","You will be responsible for supporting initiatives to deliver on our group's goals and critical metrics, contributing to both organic and new growth through new…",4.0
Product Strategy Manager,Barclays,"Hybrid remote in Whippany, NJ 07981","$150,000 - $200,000 ","
 30+ days ago","Ensuring continued alignment to Procurement Strategy and product specific road map, guiding choices within.
Managing the process documentation for the processes…",3.9
Senior Product Manager-GC,DICK'S Sporting Goods,"Remote in New York, NY","$186,600 - $222,500 ","
 3 days ago","Analyze user and business needs through user interviews, data analysis, and market research.
Document, manage, and monitor product KPIs and metrics to ensure…",3.4
"Product Manager, Digital Banking",UBS,"Weehawken, NJ 07086","$110,000 - $190,000 ","
 13 days ago",Support pod Objective and Key Results and provide relevant product measurements and metrics to meet overall business goals.,3.8
